Rating,Title,Review
,Worth every penny,"I Buy This Awesome Mobile Superbb I Buy 6/128 super camera performance and super display Attractive and this performance Great
Best Value For Money"
,Excellent,Just amazing
,Super!,Nice cam
4.4,Simply awesome,"The phone is good, but back cover is a bit loose. Overall the phone at this price is best."
,Super!,Great phone this prize 👍
,Just wow!,Best smartphone 💞
,Highly recommended,Product Very nice display.battery.3dscruvd . camera nice order from odisha mbj karanjia at tksl
,Wonderful,Excellent
,Fabulous!,Value For Money.😃😃😃 Genuine Product 🌟🌟🌟🌟🌟🌟
,Terrific purchase,"Best phone in 15k
Buy without any doubt 😉"
,Simply awesome,I'm satisfied with the product. Worth buying it
,Terrific purchase,Very good 👍 👏 👌
,Very Good,wow asume
4.4,Very Good,Everything is perfect in this phone infinic nailed all in this rate with awesome features
,Good,"Heating problem with charging time and after 20 minutes use , camera is not bad but not good , battery life is not good but Ok , Display Is Good ,"
,Nice,Superb
,Really Nice,Very good phone📱 but some heating issue
,Useless product,Not working 5g unlimeted data i buying this phon for my husband.don't buy this phon. my phon is redme not 13 one year old and I also buy this phon on Flipkart data unlimited use 5g. go for other phone brend
,Decent product,Some app hang
,Fair,Camera improvement
,Does the job,Phone is getting heat
,Nice,Camera quality very poor
,Nice,Not bad
4.4,Not good,Hang issue
,Terrific,Supar
,Excellent,Very affordable and the right justification of price nice camera nice battery performance
,Classy product,Camera best ha
,Simply awesome,Super mobile infinix note 50s 5g velue for money
,Delightful,In this range you can get a chance to experience premium
,Worth every penny,"The product is worth the price. Awesome camera quality, video quality is also very good👍, strongly suggest this phone under budget.
Thanks INFINI. 🌹"
,Must buy!,Overall Good
,Awesome,Very good product
,Mind-blowing purchase,Nice phone
4.4,Terrific purchase,Velue for money i am happy
,Worthless,Don't buy this mopile i buyed mopile was locked can't use my money gone worst infinix castamer care don't bye
,Worst experience ever!,Product is very very slow and touch is not responsive
,Best in the market!,Powerful phone
,Brilliant,Very good 👍
,Perfect product!,Super mast buite
,Really Nice,Under 15000 one of the best phone
,Nice,Charging Adaptor only 45 w
,Brilliant,Good 👍
,Awesome,Not bad.
4.4,Fair,Over all good
,Awesome,Awesome👏✊👍
,Hated it!,Waste of money's
,Must buy!,Nice mobile
,Brilliant,Best
,Worth every penny,Very nice and beautiful phone
,Super!,Brilliant phone maid in India 👏👏🔥🔥🔥
,Unsatisfactory,Worst phone I ever seen
,Expected a better product,Phone was hank problem 😞
,Super!,Good
4.4,Fair,Over all good
,Awesome,Awesome👏✊👍
,Hated it!,Waste of money's
,Must buy!,Nice mobile
,Brilliant,Best
,Worth every penny,Very nice and beautiful phone
,Super!,Brilliant phone maid in India 👏👏🔥🔥🔥
,Unsatisfactory,Worst phone I ever seen
,Expected a better product,Phone was hank problem 😞
,Super!,Good
4.4,Unsatisfactory,"wrost phone I not seen in my life, getting hanging in 1 week for every task, then also if you buyed this phone means your are the fool fellow in this world."
,Terrific purchase,Good device
,Useless product,"This is the worst mobile i have ever buy.
It got struck everytime. Switched off automatically,we are not able to minimize apps
Don't buy this mobile. I am writing this after using 2 months"
,Fabulous!,One word awesome
,Highly recommended,Very nice 👌 👍 👏 😀
,Super!,Nice phon
,Wonderful,Product is good but battery backup is not good 🔥
,Perfect product!,Superb qualiy
,Classy product,Best mobile under budget
,Pretty good,Prouduct is good and value for mone
4.4,Must buy!,Gud
,Worth every penny,Best
,Delightful,Value for money
,Mind-blowing purchase,Exelent phone on this budget. Nice.. Thanks to Flipkart...
,Just wow!,Excellent Mobile in this price range
,Just okay,Bad
,Fair,Not battery backup
,Must buy!,Very nice samrat phone good
,Best in the market!,Super mobile
,Did not meet expectations,Very solo
4.4,Wonderful,Ok
,Must buy!,"6gb variant is not supporting AI eraser ,please give the update and also AI eraser"
,Best in the market!,Good
,Must buy!,Very nice product
,Worth every penny,"Good product, are you buy it"
,Fabulous!,"IN NEW MOBILE SOME HEATING BUT RATHER THAN ALL ARE GOOD CAMERA IS GOOD, SLIM"
,Best in the market!,Best phone
,Simply awesome,Top notch. One of the best smartphones
,Fabulous!,Shandaar
,Bad quality,Not Good
4.4,Mind-blowing purchase,Nice
,Really Nice,"This phone is very good performance
And I like this features camera so also good picture for this very good I love this phone thank you very much Flipkart"
,Wonderful,I'm happy
,Worth every penny,Wonderful product 😍
,Decent product,Worst phone always gets hang touch response also not good volume button also not responsing properly waste of money
,Hated it!,Not for waterproof
,Must buy!,Very good 👍👍
,Highly recommended,Nice
,Excellent,Good
,Great product,Worth of money
4.4,Mind-blowing purchase,Awesome 👍
,Delightful,Under 15.k best phone
,Simply awesome,"Awesome product and best of best mobile
Camera wow screen wow battery backup so nice looking screen attractive by this phone and enjoy fast fast processor and clock speed experience"
,Super!,Very good
,Terrific purchase,Very good ex
,Wonderful,Best budget mobie ever
,Brilliant,Great
,Moderate,Camera not good
,Worth every penny,Budget best mobile
,Brilliant,Very nice products looking is good 👍👍👍
4.4,Classy product,Thanks infnix
,Perfect product!,Coll 🥰🥰
,Mind-blowing purchase,Amazing phone
,Decent product,Good but battery is fast d
,Fabulous!,Nice product I am happy 😊
,Just wow!,Very nice
,Awesome,Good looking this infinix smartphone
,Slightly disappointed,Bad
,Good,This phone is really good but only one thing missing is stable video .
,Really Nice,Very nice 👍🏻
4.4,Good,Hang problem
,Brilliant,Super
,Simply awesome,Good mobile for This Price Range
,Simply awesome,Nice product
,Fabulous!,Really good phone. Loved it❤
,Unsatisfactory,Phone generating more heat after usage of 30min
,Excellent,Display coud inssu
,Worth the money,Good
,Fabulous!,Nice 👍👍
,Pretty good,Awesome work👍
4.4,Brilliant,so beautiful fon
,Does the job,"Screen/Camera quality is good. Mic sound is good. Need to improve on the software, not as par as established brands. Certain usable options are missing."
,Must buy!,Good product
,Terrific,Good qulity
,Worth the money,"Go for it, nice phone"
,Pretty good,Nice product
,Really Nice,Super mobile 🚨
,Terrific,"I don't understand why this company is underrated, I bought two phone in this big billion days one is moto adge 60 Pro others is infinix note 50s 5g+, truly saying my infinix phone is beter then my moto adge 60 pro, price also pay 10000 extra for moto 😭😭, so please go with rong decision, as per price range this phone is best in the market with curved display, I am Happy with infinix"
,Wonderful,"The AI camera is pretty good in this price range.
1 drawback is that the quality of the photo decreases when shared to others
Performance is really smooth,and screen is very impressive,UI is also very clean and easy to use,In hand feel is also very nice....Overall is extremely nice in THIS price range"
,Just wow!,Love the phone. Using it and didn't regret. Beautiful design.
4.4,Perfect product!,So nic mobil
,Fabulous!,I liked 👍
,Super!,Good
,Terrific,Nice
,Super!,Good
,Wonderful,Good
,Terrific purchase,It's a good mobile
,Perfect product!,Extremely Flexible feel. The camera is decent. Good in outdoor lighting. And portrait mode is excellent 💯. I was really surprised to see 4K recording in front and back. Speaker is good. And the screen feels like. Punching and colorful .
,Must buy!,Great phone in this budget. The curved glass display gives it a very premium look and feel. Great display and camera. Very much recommended.
,Good,Super
4.4,Nice product,Overroll good phone on this price
,Super!,Very
,Mind-blowing purchase,"Just amazing performance in this price segment, nothing to ignore this phone."
,Brilliant,I am impressed with phone
,Good quality product,Good
,Excellent,Nice product one of the best phone in savings
,Good quality product,Very nice
,Worth every penny,Nice product very nice with lovely product in this price
,Hated it!,"Just after 10 days of using the phone is automatically switch off and on continuously.
Don't buy this pro"
,Must buy!,Excellent Phone at this price Thank you Flipkart
4.4,Nice product,Overroll good phone on this price
,Super!,Very
,Mind-blowing purchase,"Just amazing performance in this price segment, nothing to ignore this phone."
,Brilliant,I am impressed with phone
,Good quality product,Good
,Excellent,Nice product one of the best phone in savings
,Good quality product,Very nice
,Worth every penny,Nice product very nice with lovely product in this price
,Hated it!,"Just after 10 days of using the phone is automatically switch off and on continuously.
Don't buy this pro"
,Must buy!,Excellent Phone at this price Thank you Flipkart
4.4,Must buy!,Excellent
,Worth every penny,Best phone in 15000k
,Terrific purchase,Wow great experience and smoth touching is display all are okay this price bought
,Fabulous!,Im happy
,Mind-blowing purchase,I'm happy
,Useless product,Please Don't buy this phone. Severe call problem. I went to service centre 2 times within a month. Mobile looks very attractive but fails to do basic work which is calling.
,Perfect product!,Best price phone
,Nice product,Love it
,Wonderful,The Best 👌
,Simply awesome,Very good
4.4,Absolute rubbish!,Not expected this
,Terrific purchase,Awesome
,Best in the market!,Good one.
,Worth every penny,Super
,Terrific purchase,Very nice product
,Highly recommended,Good
,Wonderful,Good mobile with low price
,Really Nice,All is okay but charger is heating in sometime
,Wonderful,All is well except it's battery backup
,Brilliant,Love ❤ you infinite
4.4,Terrible product,"Don't buy phone is not working
Money wasted"
,Really Nice,The product has great performance according to its budget. But it also lacks in its camera performance it mid or below it is not a very great one if you are looking for a camera phone. Overall it's a great choice for day to day
,Does the job,Good phone
,Terrific,"One of the best smart phone in this budget with curved display, slim body and features."
,Useless product,Very bad battery and mobile performance
,Great product,Good product
,Decent product,Best
,Good,Nice phone
,Awesome,"This is really the best phone. With the same features, other brands are charging 20 to 25 thousand rupees. All aspects of this phone are good. You can buy it without any doubt. You will not regret it at all."
,Just wow!,Okay
4.4,Terrible product,"Don't buy phone is not working
Money wasted"
,Really Nice,The product has great performance according to its budget. But it also lacks in its camera performance it mid or below it is not a very great one if you are looking for a camera phone. Overall it's a great choice for day to day
,Does the job,Good phone
,Terrific,"One of the best smart phone in this budget with curved display, slim body and features."
,Useless product,Very bad battery and mobile performance
,Great product,Good product
,Decent product,Best
,Good,Nice phone
,Awesome,"This is really the best phone. With the same features, other brands are charging 20 to 25 thousand rupees. All aspects of this phone are good. You can buy it without any doubt. You will not regret it at all."
,Just wow!,Okay
4.4,Worth every penny,Good products in this price
,Slightly disappointed,Battery performance is very low 3 to 4 hours
,Highly recommended,Very very good
,Excellent,All good product
,Awesome,Good
,Fair,Value of money
,Brilliant,Very good mobile this is your comment and very very nice good mobile
,Great product,Best mobile in this range
,Classy product,Good
,Perfect product!,Verey nice 👍👍
4.4,Classy product,Good product
,Does the job,Value for many
,Fabulous!,Wonderful
,Expected a better product,Poor product
,Brilliant,Nice 👍
,Fabulous!,Super
,Classy product,Good phone but it's camera doesn't contain ois support
,Good choice,Good
,Really Nice,Nice
,Worthless,Battery backup is issue with 9 hours shortly
