Rating,Title,Original_Review,Language,Translated_Review,Cleaned_Review
4.4,Worth the money,Best camera quality,ca,Best camera quality,best camera quality
,Mind-blowing purchase,Camera rest,ca,Camera rest,camera rest
,Delightful,The mobile camera is very good. Nice phone,en,The mobile camera is very good. Nice phone,mobile camera good nice phone
,Highly recommended,Very Good quality at this price.,en,Very Good quality at this price.,good quality price
,Best in the market!,Worth For Money King Of Under 15k💥,en,Worth For Money King Of Under 15k💥,worth money king 15k
,Highly recommended,"Like it
Worth it",en,"Like it
Worth it",like worth
,Perfect product!,Good mobile,so,Good mobile,good mobile
4.4,Perfect product!,Osm price acodenig,pt,Osm price acodenig,osm price acodenig
,Mind-blowing purchase,Perfect,en,Perfect,perfect
,Does the job,Nice camera quality 🩷,it,Nice camera quality 🩷,nice camera quality
,Wonderful,Don't thinking just buy it,en,Don't thinking just buy it,dont thinking buy
,Brilliant,Good pro,hr,Good pro,good pro
,Worth the money,Osm design,pt,Osm design,osm design
,Pretty good,Plzz provide ai eraser in 6gb 128g variant,it,Plzz provide ai eraser in 6gb 128g variant,plzz provide ai eraser 6gb 128g variant
,Worth the money,Just Loved It At This Price Point This Phone Is Just Mind Blowing 😊,en,Just Loved It At This Price Point This Phone Is Just Mind Blowing 😊,loved price point phone mind blowing
,Value-for-money,Its amazing mobile and affordable,en,Its amazing mobile and affordable,amazing mobile affordable
4.4,Value-for-money,Battery backup fast dain,en,Battery backup fast dain,battery backup fast dain
,Worth the money,Camera is not good but phone is good in low price,en,Camera is not good but phone is good in low price,camera good phone good low price
,Wonderful,"Great cemera
Great perfomers
Good phone the segment",en,"Great cemera
Great perfomers
Good phone the segment",great cemera great perfomers good phone segment
,Not recommended at all,Charger is not work..,af,Charger is not work..,charger work
,Simply awesome,Smmoth display and very Strong battery working 24 hours,en,Smmoth display and very Strong battery working 24 hours,smmoth display strong battery working 24 hour
,Simply awesome,Nice and slim product good mobile,en,Nice and slim product good mobile,nice slim product good mobile
,Excellent,as per my opinion the phones design is awesome with curved edges,en,as per my opinion the phones design is awesome with curved edges,per opinion phone design awesome curved edge
,Terrific,Best value for money,no,Best value for money,best value money
,Fabulous!,Best performance,en,Best performance,best performance
,Best in the market!,This phone design and performance better but battery is low please increase battery performance,en,This phone design and performance better but battery is low please increase battery performance,phone design performance better battery low please increase battery performance
4.4,Terrific purchase,Looks like a premium phone in small price.,en,Looks like a premium phone in small price.,look like premium phone small price
,Must buy!,Super,id,Super,super
,Terrific,Low prices best phone,en,Low prices best phone,low price best phone
,Terrific,"The photo I posted has the matte hydrogel screen protector on it .😊
At this price there is no need for thinking of other choices. It's the best choice. 👍",en,"The photo I posted has the matte hydrogel screen protector on it .😊
At this price there is no need for thinking of other choices. It's the best choice. 👍",photo posted matte hydrogel screen protector price need thinking choice best choice
,Fabulous!,"Overall decent mobile at this price range, but battery and front camera has to be improved",en,"Overall decent mobile at this price range, but battery and front camera has to be improved",overall decent mobile price range battery front camera improved
,Must buy!,Very very perfect phone the best service,en,Very very perfect phone the best service,perfect phone best service
,Super!,Good product and good service,en,Good product and good service,good product good service
,Excellent,Very good camera quality,en,Very good camera quality,good camera quality
,Simply awesome,Very good👍 portrait,en,Very good👍 portrait,good portrait
4.4,Wonderful,Nice mobile nice feature in this budget.,en,Nice mobile nice feature in this budget.,nice mobile nice feature budget
,Classy product,Looking premium and best performance good battery life fast charging 🔥😍,en,Looking premium and best performance good battery life fast charging 🔥😍,looking premium best performance good battery life fast charging
,Perfect product!,All rounder phone ❣️❣️,en,All rounder phone ❣️❣️,rounder phone
,Super!,It's a very good products. I like it so much.,en,It's a very good products. I like it so much.,good product like much
,Perfect product!,Thank you infinix and flipkart,en,Thank you infinix and flipkart,thank infinix flipkart
,Fabulous!,Very good camera,en,Very good camera,good camera
,Worth every penny,"I Buy This Awesome Mobile Superbb I Buy 6/128 super camera performance and super display Attractive and this performance Great
Best Value For Money",en,"I Buy This Awesome Mobile Superbb I Buy 6/128 super camera performance and super display Attractive and this performance Great
Best Value For Money",buy awesome mobile superbb buy 6128 super camera performance super display attractive performance great best value money
,Excellent,Just amazing,sw,Just amazing,amazing
,Super!,Nice cam,ro,Nice cam,nice cam
4.4,Simply awesome,"The phone is good, but back cover is a bit loose. Overall the phone at this price is best.",en,"The phone is good, but back cover is a bit loose. Overall the phone at this price is best.",phone good back cover bit loose overall phone price best
,Super!,Great phone this prize 👍,en,Great phone this prize 👍,great phone prize
,Just wow!,Best smartphone 💞,fr,Best smartphone 💞,best smartphone
,Highly recommended,Product Very nice display.battery.3dscruvd . camera nice order from odisha mbj karanjia at tksl,en,Product Very nice display.battery.3dscruvd . camera nice order from odisha mbj karanjia at tksl,product nice displaybattery3dscruvd camera nice order odisha mbj karanjia tksl
,Wonderful,Excellent,ca,Excellent,excellent
,Fabulous!,Value For Money.😃😃😃 Genuine Product 🌟🌟🌟🌟🌟🌟,en,Value For Money.😃😃😃 Genuine Product 🌟🌟🌟🌟🌟🌟,value money genuine product
,Terrific purchase,"Best phone in 15k
Buy without any doubt 😉",en,"Best phone in 15k
Buy without any doubt 😉",best phone 15k buy without doubt
,Simply awesome,I'm satisfied with the product. Worth buying it,en,I'm satisfied with the product. Worth buying it,im satisfied product worth buying
,Very Good,wow asume,pl,wow asume,wow asume
4.4,Very Good,Everything is perfect in this phone infinic nailed all in this rate with awesome features,en,Everything is perfect in this phone infinic nailed all in this rate with awesome features,everything perfect phone infinic nailed rate awesome feature
,Good,"Heating problem with charging time and after 20 minutes use , camera is not bad but not good , battery life is not good but Ok , Display Is Good ,",en,"Heating problem with charging time and after 20 minutes use , camera is not bad but not good , battery life is not good but Ok , Display Is Good ,",heating problem charging time 20 minute use camera bad good battery life good ok display good
,Nice,Superb,id,Superb,superb
,Really Nice,Very good phone📱 but some heating issue,en,Very good phone📱 but some heating issue,good phone heating issue
,Useless product,Not working 5g unlimeted data i buying this phon for my husband.don't buy this phon. my phon is redme not 13 one year old and I also buy this phon on Flipkart data unlimited use 5g. go for other phone brend,en,Not working 5g unlimeted data i buying this phon for my husband.don't buy this phon. my phon is redme not 13 one year old and I also buy this phon on Flipkart data unlimited use 5g. go for other phone brend,working 5g unlimeted data buying phon husbanddont buy phon phon redme 13 one year old also buy phon flipkart data unlimited use 5g go phone brend
,Decent product,Some app hang,no,Some app hang,app hang
,Fair,Camera improvement,pt,Camera improvement,camera improvement
,Does the job,Phone is getting heat,en,Phone is getting heat,phone getting heat
,Nice,Camera quality very poor,en,Camera quality very poor,camera quality poor
,Nice,Not bad,id,Not bad,bad
4.4,Not good,Hang issue,tl,Hang issue,hang issue
,Terrific,Supar,id,Supar,supar
,Excellent,Very affordable and the right justification of price nice camera nice battery performance,en,Very affordable and the right justification of price nice camera nice battery performance,affordable right justification price nice camera nice battery performance
,Classy product,Camera best ha,en,Camera best ha,camera best ha
,Simply awesome,Super mobile infinix note 50s 5g velue for money,en,Super mobile infinix note 50s 5g velue for money,super mobile infinix note 50 5g velue money
,Delightful,In this range you can get a chance to experience premium,en,In this range you can get a chance to experience premium,range get chance experience premium
,Worth every penny,"The product is worth the price. Awesome camera quality, video quality is also very good👍, strongly suggest this phone under budget.
Thanks INFINI. 🌹",en,"The product is worth the price. Awesome camera quality, video quality is also very good👍, strongly suggest this phone under budget.
Thanks INFINI. 🌹",product worth price awesome camera quality video quality also good strongly suggest phone budget thanks infini
,Must buy!,Overall Good,en,Overall Good,overall good
4.4,Terrific purchase,Velue for money i am happy,no,Velue for money i am happy,velue money happy
,Worthless,Don't buy this mopile i buyed mopile was locked can't use my money gone worst infinix castamer care don't bye,en,Don't buy this mopile i buyed mopile was locked can't use my money gone worst infinix castamer care don't bye,dont buy mopile buyed mopile locked cant use money gone worst infinix castamer care dont bye
,Worst experience ever!,Product is very very slow and touch is not responsive,en,Product is very very slow and touch is not responsive,product slow touch responsive
,Best in the market!,Powerful phone,en,Powerful phone,powerful phone
,Perfect product!,Super mast buite,ro,Super mast buite,super mast buite
,Really Nice,Under 15000 one of the best phone,en,Under 15000 one of the best phone,15000 one best phone
,Nice,Charging Adaptor only 45 w,en,Charging Adaptor only 45 w,charging adaptor 45 w
,Awesome,Awesome👏✊👍,af,Awesome👏✊👍,awesome
,Hated it!,Waste of money's,en,Waste of money's,waste money
,Must buy!,Nice mobile,ro,Nice mobile,nice mobile
,Brilliant,Best,de,Best,best
,Worth every penny,Very nice and beautiful phone,en,Very nice and beautiful phone,nice beautiful phone
,Super!,Brilliant phone maid in India 👏👏🔥🔥🔥,en,Brilliant phone maid in India 👏👏🔥🔥🔥,brilliant phone maid india
,Unsatisfactory,Worst phone I ever seen,en,Worst phone I ever seen,worst phone ever seen
,Expected a better product,Phone was hank problem 😞,en,Phone was hank problem 😞,phone hank problem
4.4,Unsatisfactory,"wrost phone I not seen in my life, getting hanging in 1 week for every task, then also if you buyed this phone means your are the fool fellow in this world.",en,"wrost phone I not seen in my life, getting hanging in 1 week for every task, then also if you buyed this phone means your are the fool fellow in this world.",wrost phone seen life getting hanging 1 week every task also buyed phone mean fool fellow world
,Terrific purchase,Good device,en,Good device,good device
,Useless product,"This is the worst mobile i have ever buy.
It got struck everytime. Switched off automatically,we are not able to minimize apps
Don't buy this mobile. I am writing this after using 2 months",en,"This is the worst mobile i have ever buy.
It got struck everytime. Switched off automatically,we are not able to minimize apps
Don't buy this mobile. I am writing this after using 2 months",worst mobile ever buy got struck everytime switched automaticallywe able minimize apps dont buy mobile writing using 2 month
,Fabulous!,One word awesome,af,One word awesome,one word awesome
,Super!,Nice phon,en,Nice phon,nice phon
,Wonderful,Product is good but battery backup is not good 🔥,en,Product is good but battery backup is not good 🔥,product good battery backup good
,Perfect product!,Superb qualiy,ca,Superb qualiy,superb qualiy
,Classy product,Best mobile under budget,da,Best mobile under budget,best mobile budget
,Pretty good,Prouduct is good and value for mone,en,Prouduct is good and value for mone,prouduct good value mone
4.4,Must buy!,Gud,es,Gud,gud
,Mind-blowing purchase,Exelent phone on this budget. Nice.. Thanks to Flipkart...,en,Exelent phone on this budget. Nice.. Thanks to Flipkart...,exelent phone budget nice thanks flipkart
,Just wow!,Excellent Mobile in this price range,en,Excellent Mobile in this price range,excellent mobile price range
,Fair,Not battery backup,en,Not battery backup,battery backup
,Must buy!,Very nice samrat phone good,en,Very nice samrat phone good,nice samrat phone good
,Best in the market!,Super mobile,ro,Super mobile,super mobile
,Did not meet expectations,Very solo,en,Very solo,solo
4.4,Wonderful,Ok,af,Ok,ok
,Must buy!,"6gb variant is not supporting AI eraser ,please give the update and also AI eraser",en,"6gb variant is not supporting AI eraser ,please give the update and also AI eraser",6gb variant supporting ai eraser please give update also ai eraser
,Worth every penny,"Good product, are you buy it",en,"Good product, are you buy it",good product buy
,Fabulous!,"IN NEW MOBILE SOME HEATING BUT RATHER THAN ALL ARE GOOD CAMERA IS GOOD, SLIM",en,"IN NEW MOBILE SOME HEATING BUT RATHER THAN ALL ARE GOOD CAMERA IS GOOD, SLIM",new mobile heating rather good camera good slim
,Simply awesome,Top notch. One of the best smartphones,en,Top notch. One of the best smartphones,top notch one best smartphones
,Fabulous!,Shandaar,so,Shandaar,shandaar
,Really Nice,"This phone is very good performance
And I like this features camera so also good picture for this very good I love this phone thank you very much Flipkart",en,"This phone is very good performance
And I like this features camera so also good picture for this very good I love this phone thank you very much Flipkart",phone good performance like feature camera also good picture good love phone thank much flipkart
,Wonderful,I'm happy,sv,I'm happy,im happy
,Worth every penny,Wonderful product 😍,en,Wonderful product 😍,wonderful product
,Decent product,Worst phone always gets hang touch response also not good volume button also not responsing properly waste of money,en,Worst phone always gets hang touch response also not good volume button also not responsing properly waste of money,worst phone always get hang touch response also good volume button also responsing properly waste money
,Hated it!,Not for waterproof,en,Not for waterproof,waterproof
,Great product,Worth of money,en,Worth of money,worth money
,Delightful,Under 15.k best phone,da,Under 15.k best phone,15k best phone
,Simply awesome,"Awesome product and best of best mobile
Camera wow screen wow battery backup so nice looking screen attractive by this phone and enjoy fast fast processor and clock speed experience",en,"Awesome product and best of best mobile
Camera wow screen wow battery backup so nice looking screen attractive by this phone and enjoy fast fast processor and clock speed experience",awesome product best best mobile camera wow screen wow battery backup nice looking screen attractive phone enjoy fast fast processor clock speed experience
,Terrific purchase,Very good ex,en,Very good ex,good ex
,Wonderful,Best budget mobie ever,da,Best budget mobie ever,best budget mobie ever
,Brilliant,Great,en,Great,great
,Moderate,Camera not good,pt,Camera not good,camera good
,Worth every penny,Budget best mobile,da,Budget best mobile,budget best mobile
,Brilliant,Very nice products looking is good 👍👍👍,en,Very nice products looking is good 👍👍👍,nice product looking good
4.4,Classy product,Thanks infnix,en,Thanks infnix,thanks infnix
,Perfect product!,Coll 🥰🥰,it,Coll 🥰🥰,coll
,Mind-blowing purchase,Amazing phone,tl,Amazing phone,amazing phone
,Decent product,Good but battery is fast d,en,Good but battery is fast d,good battery fast
,Fabulous!,Nice product I am happy 😊,en,Nice product I am happy 😊,nice product happy
,Awesome,Good looking this infinix smartphone,en,Good looking this infinix smartphone,good looking infinix smartphone
,Good,This phone is really good but only one thing missing is stable video .,en,This phone is really good but only one thing missing is stable video .,phone really good one thing missing stable video
4.4,Good,Hang problem,no,Hang problem,hang problem
,Simply awesome,Good mobile for This Price Range,en,Good mobile for This Price Range,good mobile price range
,Fabulous!,Really good phone. Loved it❤,en,Really good phone. Loved it❤,really good phone loved
,Unsatisfactory,Phone generating more heat after usage of 30min,en,Phone generating more heat after usage of 30min,phone generating heat usage 30min
,Excellent,Display coud inssu,en,Display coud inssu,display coud inssu
,Pretty good,Awesome work👍,af,Awesome work👍,awesome work
4.4,Brilliant,so beautiful fon,ro,so beautiful fon,beautiful fon
,Does the job,"Screen/Camera quality is good. Mic sound is good. Need to improve on the software, not as par as established brands. Certain usable options are missing.",en,"Screen/Camera quality is good. Mic sound is good. Need to improve on the software, not as par as established brands. Certain usable options are missing.",screencamera quality good mic sound good need improve software par established brand certain usable option missing
,Terrific,Good qulity,en,Good qulity,good qulity
,Worth the money,"Go for it, nice phone",en,"Go for it, nice phone",go nice phone
,Terrific,"I don't understand why this company is underrated, I bought two phone in this big billion days one is moto adge 60 Pro others is infinix note 50s 5g+, truly saying my infinix phone is beter then my moto adge 60 pro, price also pay 10000 extra for moto 😭😭, so please go with rong decision, as per price range this phone is best in the market with curved display, I am Happy with infinix",en,"I don't understand why this company is underrated, I bought two phone in this big billion days one is moto adge 60 Pro others is infinix note 50s 5g+, truly saying my infinix phone is beter then my moto adge 60 pro, price also pay 10000 extra for moto 😭😭, so please go with rong decision, as per price range this phone is best in the market with curved display, I am Happy with infinix",dont understand company underrated bought two phone big billion day one moto adge 60 pro others infinix note 50 5g truly saying infinix phone beter moto adge 60 pro price also pay 10000 extra moto please go rong decision per price range phone best market curved display happy infinix
,Wonderful,"The AI camera is pretty good in this price range.
1 drawback is that the quality of the photo decreases when shared to others
Performance is really smooth,and screen is very impressive,UI is also very clean and easy to use,In hand feel is also very nice....Overall is extremely nice in THIS price range",en,"The AI camera is pretty good in this price range.
1 drawback is that the quality of the photo decreases when shared to others
Performance is really smooth,and screen is very impressive,UI is also very clean and easy to use,In hand feel is also very nice....Overall is extremely nice in THIS price range",ai camera pretty good price range 1 drawback quality photo decrease shared others performance really smoothand screen impressiveui also clean easy usein hand feel also niceoverall extremely nice price range
,Just wow!,Love the phone. Using it and didn't regret. Beautiful design.,en,Love the phone. Using it and didn't regret. Beautiful design.,love phone using didnt regret beautiful design
4.4,Perfect product!,So nic mobil,sl,So nic mobil,nic mobil
,Fabulous!,I liked 👍,et,I liked 👍,liked
,Perfect product!,Extremely Flexible feel. The camera is decent. Good in outdoor lighting. And portrait mode is excellent 💯. I was really surprised to see 4K recording in front and back. Speaker is good. And the screen feels like. Punching and colorful .,en,Extremely Flexible feel. The camera is decent. Good in outdoor lighting. And portrait mode is excellent 💯. I was really surprised to see 4K recording in front and back. Speaker is good. And the screen feels like. Punching and colorful .,extremely flexible feel camera decent good outdoor lighting portrait mode excellent really surprised see 4k recording front back speaker good screen feel like punching colorful
,Must buy!,Great phone in this budget. The curved glass display gives it a very premium look and feel. Great display and camera. Very much recommended.,en,Great phone in this budget. The curved glass display gives it a very premium look and feel. Great display and camera. Very much recommended.,great phone budget curved glass display give premium look feel great display camera much recommended
4.4,Nice product,Overroll good phone on this price,en,Overroll good phone on this price,overroll good phone price
,Super!,Very,de,Very,
,Mind-blowing purchase,"Just amazing performance in this price segment, nothing to ignore this phone.",en,"Just amazing performance in this price segment, nothing to ignore this phone.",amazing performance price segment nothing ignore phone
,Brilliant,I am impressed with phone,en,I am impressed with phone,impressed phone
,Excellent,Nice product one of the best phone in savings,en,Nice product one of the best phone in savings,nice product one best phone saving
,Worth every penny,Nice product very nice with lovely product in this price,en,Nice product very nice with lovely product in this price,nice product nice lovely product price
,Hated it!,"Just after 10 days of using the phone is automatically switch off and on continuously.
Don't buy this pro",en,"Just after 10 days of using the phone is automatically switch off and on continuously.
Don't buy this pro",10 day using phone automatically switch continuously dont buy pro
,Must buy!,Excellent Phone at this price Thank you Flipkart,en,Excellent Phone at this price Thank you Flipkart,excellent phone price thank flipkart
,Worth every penny,Best phone in 15000k,en,Best phone in 15000k,best phone 15000k
,Terrific purchase,Wow great experience and smoth touching is display all are okay this price bought,en,Wow great experience and smoth touching is display all are okay this price bought,wow great experience smoth touching display okay price bought
,Useless product,Please Don't buy this phone. Severe call problem. I went to service centre 2 times within a month. Mobile looks very attractive but fails to do basic work which is calling.,en,Please Don't buy this phone. Severe call problem. I went to service centre 2 times within a month. Mobile looks very attractive but fails to do basic work which is calling.,please dont buy phone severe call problem went service centre 2 time within month mobile look attractive fails basic work calling
,Perfect product!,Best price phone,fr,Best price phone,best price phone
,Nice product,Love it,sl,Love it,love
4.4,Absolute rubbish!,Not expected this,en,Not expected this,expected
,Best in the market!,Good one.,en,Good one.,good one
,Wonderful,Good mobile with low price,en,Good mobile with low price,good mobile low price
,Really Nice,All is okay but charger is heating in sometime,en,All is okay but charger is heating in sometime,okay charger heating sometime
,Wonderful,All is well except it's battery backup,en,All is well except it's battery backup,well except battery backup
,Brilliant,Love ❤ you infinite,en,Love ❤ you infinite,love infinite
4.4,Terrible product,"Don't buy phone is not working
Money wasted",en,"Don't buy phone is not working
Money wasted",dont buy phone working money wasted
,Really Nice,The product has great performance according to its budget. But it also lacks in its camera performance it mid or below it is not a very great one if you are looking for a camera phone. Overall it's a great choice for day to day,en,The product has great performance according to its budget. But it also lacks in its camera performance it mid or below it is not a very great one if you are looking for a camera phone. Overall it's a great choice for day to day,product great performance according budget also lack camera performance mid great one looking camera phone overall great choice day day
,Terrific,"One of the best smart phone in this budget with curved display, slim body and features.",en,"One of the best smart phone in this budget with curved display, slim body and features.",one best smart phone budget curved display slim body feature
,Useless product,Very bad battery and mobile performance,en,Very bad battery and mobile performance,bad battery mobile performance
,Awesome,"This is really the best phone. With the same features, other brands are charging 20 to 25 thousand rupees. All aspects of this phone are good. You can buy it without any doubt. You will not regret it at all.",en,"This is really the best phone. With the same features, other brands are charging 20 to 25 thousand rupees. All aspects of this phone are good. You can buy it without any doubt. You will not regret it at all.",really best phone feature brand charging 20 25 thousand rupee aspect phone good buy without doubt regret
,Just wow!,Okay,tl,Okay,okay
4.4,Worth every penny,Good products in this price,en,Good products in this price,good product price
,Slightly disappointed,Battery performance is very low 3 to 4 hours,en,Battery performance is very low 3 to 4 hours,battery performance low 3 4 hour
,Brilliant,Very good mobile this is your comment and very very nice good mobile,en,Very good mobile this is your comment and very very nice good mobile,good mobile comment nice good mobile
,Great product,Best mobile in this range,en,Best mobile in this range,best mobile range
,Perfect product!,Verey nice 👍👍,de,Verey nice 👍👍,verey nice
,Does the job,Value for many,ca,Value for many,value many
,Fabulous!,Wonderful,de,Wonderful,wonderful
,Expected a better product,Poor product,en,Poor product,poor product
,Classy product,Good phone but it's camera doesn't contain ois support,en,Good phone but it's camera doesn't contain ois support,good phone camera doesnt contain ois support
,Worthless,Battery backup is issue with 9 hours shortly,en,Battery backup is issue with 9 hours shortly,battery backup issue 9 hour shortly
