review,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,sentiment
nice slim product good mobile,0.6908,0.655,0.0,0.345,0.6499999999999999,Positive
per opinion phone design awesome curved edge,0.6249,0.406,0.0,0.594,1.0,Positive
best value money,0.765,0.868,0.0,0.132,1.0,Positive
best performance,0.6369,0.808,0.0,0.192,1.0,Positive
phone design performance better battery low please increase battery performance,0.6597,0.481,0.135,0.385,0.25,Positive
look like premium phone small price,0.3612,0.333,0.0,0.667,-0.25,Positive
super,0.5994,1.0,0.0,0.0,0.3333333333333333,Positive
low price best phone,0.4767,0.506,0.253,0.241,0.5,Positive
photo posted matte hydrogel screen protector price need thinking choice best choice,0.6369,0.276,0.0,0.724,1.0,Positive
overall decent mobile price range battery front camera improved,0.4767,0.279,0.0,0.721,0.08333333333333333,Positive
perfect phone best service,0.836,0.798,0.0,0.202,1.0,Positive
good product good service,0.7003,0.744,0.0,0.256,0.7,Positive
good camera quality,0.4404,0.592,0.0,0.408,0.7,Positive
good portrait,0.4404,0.744,0.0,0.256,0.7,Positive
nice mobile nice feature budget,0.6808,0.651,0.0,0.349,0.6,Positive
looking premium best performance good battery life fast charging,0.7964,0.504,0.0,0.496,0.6333333333333333,Positive
rounder phone,0.0,0.0,0.0,1.0,0.0,Neutral
good product like much,0.6597,0.73,0.0,0.27,0.44999999999999996,Positive
thank infinix flipkart,0.3612,0.556,0.0,0.444,0.0,Positive
good camera,0.4404,0.744,0.0,0.256,0.7,Positive
buy awesome mobile superbb buy 6128 super camera performance super display attractive performance great best value money,0.9788,0.718,0.0,0.282,0.7111111111111111,Positive
amazing,0.5859,1.0,0.0,0.0,0.6000000000000001,Positive
nice cam,0.4215,0.737,0.0,0.263,0.6,Positive
phone good back cover bit loose overall phone price best,0.7003,0.433,0.14,0.427,0.32461538461538464,Positive
great phone prize,0.8126,0.881,0.0,0.119,0.8,Positive
best smartphone,0.6369,0.808,0.0,0.192,1.0,Positive
product nice displaybattery3dscruvd camera nice order odisha mbj karanjia tksl,0.6808,0.412,0.0,0.588,0.6,Positive
excellent,0.5719,1.0,0.0,0.0,1.0,Positive
value money genuine product,0.34,0.444,0.0,0.556,0.4,Positive
best phone 15k buy without doubt,0.7438,0.612,0.0,0.388,1.0,Positive
im satisfied product worth buying,0.5719,0.61,0.0,0.39,0.4,Positive
wow asume,0.5859,0.792,0.0,0.208,0.1,Positive
everything perfect phone infinic nailed rate awesome feature,0.8316,0.565,0.0,0.435,1.0,Positive
heating problem charging time 20 minute use camera bad good battery life good ok display good,0.5719,0.402,0.229,0.369,0.38,Positive
superb,0.6249,1.0,0.0,0.0,1.0,Positive
good phone heating issue,0.4404,0.492,0.0,0.508,0.7,Positive
working 5g unlimeted data buying phon husbanddont buy phon phon redme 13 one year old also buy phon flipkart data unlimited use 5g go phone brend,0.0,0.0,0.0,1.0,0.1,Neutral
app hang,0.0,0.0,0.0,1.0,0.0,Neutral
camera improvement,0.4588,0.75,0.0,0.25,0.0,Positive
phone getting heat,0.0,0.0,0.0,1.0,0.0,Neutral
camera quality poor,-0.4767,0.0,0.608,0.392,-0.4,Negative
bad,-0.5423,0.0,1.0,0.0,-0.6999999999999998,Negative
hang issue,0.0,0.0,0.0,1.0,0.0,Neutral
supar,0.0,0.0,0.0,1.0,0.0,Neutral
affordable right justification price nice camera nice battery performance,0.6808,0.444,0.0,0.556,0.49523809523809526,Positive
camera best ha,0.765,0.868,0.0,0.132,1.0,Positive
super mobile infinix note 50 5g velue money,0.5994,0.358,0.0,0.642,0.3333333333333333,Positive
range get chance experience premium,0.25,0.333,0.0,0.667,0.0,Positive
product worth price awesome camera quality video quality also good strongly suggest phone budget thanks infini,0.9169,0.558,0.0,0.442,0.5266666666666667,Positive
overall good,0.4404,0.744,0.0,0.256,0.35,Positive
velue money happy,0.5719,0.649,0.0,0.351,0.8,Positive
dont buy mopile buyed mopile locked cant use money gone worst infinix castamer care dont bye,-0.2263,0.15,0.192,0.657,-1.0,Negative
product slow touch responsive,0.3612,0.455,0.0,0.545,-0.30000000000000004,Positive
powerful phone,0.4215,0.737,0.0,0.263,0.3,Positive
super mast buite,0.5994,0.661,0.0,0.339,0.3333333333333333,Positive
15000 one best phone,0.6369,0.583,0.0,0.417,1.0,Positive
charging adaptor 45 w,0.0,0.0,0.0,1.0,0.0,Neutral
awesome,0.6249,1.0,0.0,0.0,1.0,Positive
waste money,-0.4215,0.0,0.737,0.263,-0.2,Negative
nice mobile,0.4215,0.737,0.0,0.263,0.6,Positive
best,0.6369,1.0,0.0,0.0,1.0,Positive
nice beautiful phone,0.7717,0.87,0.0,0.13,0.725,Positive
brilliant phone maid india,0.5859,0.559,0.0,0.441,0.9,Positive
worst phone ever seen,-0.6249,0.0,0.577,0.423,-1.0,Negative
phone hank problem,-0.4019,0.0,0.574,0.426,0.0,Negative
wrost phone seen life getting hanging 1 week every task also buyed phone mean fool fellow world,-0.4404,0.0,0.162,0.838,-0.3125,Negative
good device,0.4404,0.744,0.0,0.256,0.7,Positive
worst mobile ever buy got struck everytime switched automaticallywe able minimize apps dont buy mobile writing using 2 month,-0.7269,0.0,0.276,0.724,-0.25,Negative
one word awesome,0.6249,0.672,0.0,0.328,1.0,Positive
nice phon,0.4215,0.737,0.0,0.263,0.6,Positive
product good battery backup good,0.7003,0.659,0.0,0.341,0.7,Positive
superb qualiy,0.6249,0.804,0.0,0.196,1.0,Positive
best mobile budget,0.6369,0.677,0.0,0.323,1.0,Positive
prouduct good value mone,0.6486,0.726,0.0,0.274,0.7,Positive
gud,0.0,0.0,0.0,1.0,0.0,Neutral
exelent phone budget nice thanks flipkart,0.6908,0.588,0.0,0.412,0.4,Positive
excellent mobile price range,0.5719,0.552,0.0,0.448,1.0,Positive
battery backup,0.0,0.0,0.0,1.0,0.0,Neutral
nice samrat phone good,0.6908,0.74,0.0,0.26,0.6499999999999999,Positive
super mobile,0.5994,0.796,0.0,0.204,0.3333333333333333,Positive
solo,0.0,0.0,0.0,1.0,0.0,Neutral
ok,0.296,1.0,0.0,0.0,0.5,Positive
6gb variant supporting ai eraser please give update also ai eraser,0.6369,0.366,0.0,0.634,0.25,Positive
good product buy,0.4404,0.592,0.0,0.408,0.7,Positive
new mobile heating rather good camera good slim,0.7003,0.492,0.0,0.508,0.5121212121212121,Positive
top notch one best smartphones,0.7184,0.667,0.0,0.333,0.75,Positive
shandaar,0.0,0.0,0.0,1.0,0.0,Neutral
phone good performance like feature camera also good picture good love phone thank much flipkart,0.9509,0.665,0.0,0.335,0.5599999999999999,Positive
im happy,0.5719,0.787,0.0,0.213,0.8,Positive
wonderful product,0.5719,0.787,0.0,0.213,1.0,Positive
worst phone always get hang touch response also good volume button also responsing properly waste money,-0.6124,0.127,0.303,0.57,-0.16666666666666666,Negative
waterproof,0.0,0.0,0.0,1.0,0.0,Neutral
worth money,0.2263,0.655,0.0,0.345,0.3,Positive
15k best phone,0.6369,0.677,0.0,0.323,1.0,Positive
awesome product best best mobile camera wow screen wow battery backup nice looking screen attractive phone enjoy fast fast processor clock speed experience,0.9834,0.659,0.0,0.341,0.5400000000000001,Positive
good ex,0.4404,0.744,0.0,0.256,0.7,Positive
best budget mobie ever,0.6369,0.583,0.0,0.417,1.0,Positive
great,0.6249,1.0,0.0,0.0,0.8,Positive
camera good,0.4404,0.744,0.0,0.256,0.7,Positive
budget best mobile,0.6369,0.677,0.0,0.323,1.0,Positive
nice product looking good,0.6908,0.74,0.0,0.26,0.6499999999999999,Positive
thanks infnix,0.4404,0.744,0.0,0.256,0.2,Positive
coll,0.0,0.0,0.0,1.0,0.0,Neutral
amazing phone,0.5859,0.792,0.0,0.208,0.6000000000000001,Positive
good battery fast,0.4404,0.592,0.0,0.408,0.44999999999999996,Positive
nice product happy,0.7579,0.867,0.0,0.133,0.7,Positive
good looking infinix smartphone,0.4404,0.492,0.0,0.508,0.7,Positive
phone really good one thing missing stable video,0.4927,0.428,0.175,0.397,0.24999999999999997,Positive
hang problem,-0.4019,0.0,0.73,0.27,0.0,Negative
good mobile price range,0.4404,0.492,0.0,0.508,0.7,Positive
really good phone loved,0.8104,0.786,0.0,0.214,0.7,Positive
phone generating heat usage 30min,0.0,0.0,0.0,1.0,0.0,Neutral
display coud inssu,0.0,0.0,0.0,1.0,0.0,Neutral
awesome work,0.6249,0.804,0.0,0.196,1.0,Positive
beautiful fon,0.5994,0.796,0.0,0.204,0.85,Positive
screencamera quality good mic sound good need improve software par established brand certain usable option missing,0.8225,0.45,0.092,0.458,0.3628571428571429,Positive
good qulity,0.4404,0.744,0.0,0.256,0.7,Positive
go nice phone,0.4215,0.583,0.0,0.417,0.6,Positive
dont understand company underrated bought two phone big billion day one moto adge 60 pro others infinix note 50 5g truly saying infinix phone beter moto adge 60 pro price also pay 10000 extra moto please go rong decision per price range phone best market curved display happy infinix,0.9136,0.224,0.024,0.752,0.45,Positive
ai camera pretty good price range 1 drawback quality photo decrease shared others performance really smoothand screen impressiveui also clean easy usein hand feel also niceoverall extremely nice price range,0.9606,0.481,0.0,0.519,0.425,Positive
love phone using didnt regret beautiful design,0.5245,0.478,0.23,0.292,0.675,Positive
nic mobil,0.0,0.0,0.0,1.0,0.0,Neutral
liked,0.4215,1.0,0.0,0.0,0.6,Positive
extremely flexible feel camera decent good outdoor lighting portrait mode excellent really surprised see 4k recording front back speaker good screen feel like punching colorful,0.937,0.463,0.0,0.537,0.35520833333333335,Positive
great phone budget curved glass display give premium look feel great display camera much recommended,0.875,0.455,0.0,0.545,0.6,Positive
overroll good phone price,0.4404,0.492,0.0,0.508,0.7,Positive
amazing performance price segment nothing ignore phone,0.7105,0.542,0.0,0.458,0.6000000000000001,Positive
impressed phone,0.4767,0.756,0.0,0.244,1.0,Positive
nice product one best phone saving,0.7906,0.636,0.0,0.364,0.8,Positive
nice product nice lovely product price,0.8555,0.758,0.0,0.242,0.5666666666666667,Positive
10 day using phone automatically switch continuously dont buy pro,0.0,0.0,0.0,1.0,0.0,Neutral
excellent phone price thank flipkart,0.7351,0.674,0.0,0.326,1.0,Positive
best phone 15000k,0.6369,0.677,0.0,0.323,1.0,Positive
wow great experience smoth touching display okay price bought,0.8689,0.62,0.0,0.38,0.475,Positive
please dont buy phone severe call problem went service centre 2 time within month mobile look attractive fails basic work calling,0.2225,0.265,0.197,0.538,0.10000000000000002,Positive
best price phone,0.6369,0.677,0.0,0.323,1.0,Positive
love,0.6369,1.0,0.0,0.0,0.5,Positive
expected,0.0,0.0,0.0,1.0,-0.1,Neutral
good one,0.4404,0.744,0.0,0.256,0.7,Positive
good mobile low price,0.2023,0.414,0.3,0.286,0.35,Positive
okay charger heating sometime,0.2263,0.388,0.0,0.612,0.5,Positive
well except battery backup,0.2732,0.412,0.0,0.588,0.0,Positive
love infinite,0.6369,0.808,0.0,0.192,0.5,Positive
dont buy phone working money wasted,-0.4939,0.0,0.39,0.61,-0.2,Negative
product great performance according budget also lack camera performance mid great one looking camera phone overall great choice day day,0.9001,0.402,0.075,0.523,0.4800000000000001,Positive
one best smart phone budget curved display slim body feature,0.7845,0.463,0.0,0.537,0.6071428571428571,Positive
bad battery mobile performance,-0.5423,0.0,0.538,0.462,-0.6999999999999998,Negative
really best phone feature brand charging 20 25 thousand rupee aspect phone good buy without doubt regret,0.8965,0.477,0.0,0.523,0.85,Positive
okay,0.2263,1.0,0.0,0.0,0.5,Positive
good product price,0.4404,0.592,0.0,0.408,0.7,Positive
battery performance low 3 4 hour,-0.2732,0.0,0.412,0.588,0.0,Negative
good mobile comment nice good mobile,0.8225,0.741,0.0,0.259,0.6666666666666666,Positive
best mobile range,0.6369,0.677,0.0,0.323,1.0,Positive
verey nice,0.4215,0.737,0.0,0.263,0.6,Positive
value many,0.34,0.706,0.0,0.294,0.5,Positive
wonderful,0.5719,1.0,0.0,0.0,1.0,Positive
poor product,-0.4767,0.0,0.756,0.244,-0.4,Negative
good phone camera doesnt contain ois support,0.1635,0.285,0.222,0.492,0.7,Positive
battery backup issue 9 hour shortly,0.0,0.0,0.0,1.0,0.0,Neutral
